year,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year,coverage_note
2022,WPP717,2902,3.0181,1.390811,0,Full year
2022,WPP718,68362,33.332,3.536077,0,Full year
2023,ARMM,6,6.9568,2.07403,0,Full year
2023,Region XI,1,11.8294,2.551739,0,Full year
2023,Region XII,8,7.405,2.128823,0,Full year
2023,Unknown,2267,6.8893,2.065511,0,Full year
2023,WPP571,35041,14.7316,2.75567,0,Full year
2023,WPP572,39073,6.1585,1.968303,0,Full year
2023,WPP573,60180,10.5448,2.446234,0,Full year
2023,WPP711,148675,29.9288,3.431688,0,Full year
2023,WPP712,440856,21.9886,3.134998,0,Full year
2023,WPP713,79001,15.024,2.774085,0,Full year
2023,WPP714,16243,11.0579,2.48972,0,Full year
2023,WPP715,8333,5.1832,1.821837,0,Full year
2023,WPP716,17175,10.4965,2.442044,0,Full year
2023,WPP717,3275,3.9995,1.609337,0,Full year
2023,WPP718,76324,34.0095,3.55562,0,Full year
2024,ARMM,2,7.604,2.152225,0,Full year
2024,Region XI,1,6.5537,2.022035,0,Full year
2024,Unknown,1849,6.9889,2.078057,0,Full year
2024,WPP571,28532,14.4251,2.735995,0,Full year
2024,WPP572,29820,5.5146,1.87405,0,Full year
2024,WPP573,44631,7.5671,2.147925,0,Full year
2024,WPP711,90023,24.3537,3.232924,0,Full year
2024,WPP712,296194,16.948,2.887479,0,Full year
2024,WPP713,59764,12.4282,2.597356,0,Full year
2024,WPP714,12459,9.1128,2.313802,0,Full year
2024,WPP715,7514,4.7578,1.750559,0,Full year
2024,WPP716,12646,10.275,2.422591,0,Full year
2024,WPP717,5914,4.69,1.738702,0,Full year
2024,WPP718,58085,27.3956,3.346235,0,Full year
2025,ARMM,4,9.5727,2.358279,0,Full year
2025,Region XI,3,1.5649,0.94191,0,Full year
2025,Region XII,2,32.607,3.514734,0,Full year
2025,Unknown,1923,6.8362,2.058753,0,Full year
2025,WPP571,25984,11.8467,2.553088,0,Full year
2025,WPP572,37322,5.8768,1.928147,0,Full year
2025,WPP573,67756,8.228,2.222247,0,Full year
2025,WPP711,90710,21.5536,3.115894,0,Full year
2025,WPP712,296037,13.0183,2.640364,0,Full year
2025,WPP713,58955,11.2121,2.502424,0,Full year
2025,WPP714,17488,7.7206,2.165684,0,Full year
2025,WPP715,13280,5.7106,1.903694,0,Full year
2025,WPP716,13140,9.2276,2.325092,0,Full year
2025,WPP717,7570,4.0787,1.625051,0,Full year
2025,WPP718,55687,27.3948,3.346205,0,Full year
2026,Unknown,928,8.2288,2.222325,1,Partial (Jan-Jul only)
2026,WPP571,14296,12.4521,2.599137,1,Partial (Jan-Jul only)
2026,WPP572,18342,6.6528,2.035065,1,Partial (Jan-Jul only)
2026,WPP573,24669,9.9694,2.395105,1,Partial (Jan-Jul only)
2026,WPP711,42197,20.6969,3.077168,1,Partial (Jan-Jul only)
2026,WPP712,105104,11.7955,2.549097,1,Partial (Jan-Jul only)
2026,WPP713,23488,12.8451,2.62793,1,Partial (Jan-Jul only)
2026,WPP714,8303,5.3932,1.855237,1,Partial (Jan-Jul only)
2026,WPP715,7692,6.6021,2.028419,1,Partial (Jan-Jul only)
2026,WPP716,6033,10.5712,2.448518,1,Partial (Jan-Jul only)
2026,WPP717,4436,5.3119,1.842443,1,Partial (Jan-Jul only)
2026,WPP718,12397,15.318,2.792267,1,Partial (Jan-Jul only)
