Date,Year,Month,Day,Lat_DNB,Lon_DNB,Rad_DNB,QF_Detect,WPP_RI
2024-01-01,2024.0,1.0,1.0,1.720627611238871,120.38588633658964,1.2213635483141403,1,716
2024-01-01,2024.0,1.0,1.0,0.8244612355449078,121.32685319740628,1.7645814952955423,1,Outside
2024-01-01,2024.0,1.0,1.0,1.2404346497669994,123.48589412947108,30.76302556079224,1,716
2024-01-01,2024.0,1.0,1.0,2.5551850665911564,125.33630469082856,0.4680462456246994,1,716
2024-01-01,2024.0,1.0,1.0,1.2244743604561157,120.1769332346688,3.661360547368181,1,716
2024-01-01,2024.0,1.0,1.0,0.9042666316635762,122.64887706715577,2.607435637579301,1,Outside
2024-01-01,2024.0,1.0,1.0,3.661529152967897,121.07448192903476,5.319189135688191,1,Outside
2024-01-01,2024.0,1.0,1.0,1.2535877198271472,124.08841587489188,3.848403309463421,1,716
2024-01-01,2024.0,1.0,1.0,1.6012052378277415,120.7817123364132,6.50923069027243,1,716
2024-01-01,2024.0,1.0,1.0,1.371832145024957,123.01620953286616,6.171062637838595,1,716
2024-01-01,2024.0,1.0,1.0,3.878450585196404,124.3639707413513,6.94420665018946,1,716
2024-01-01,2024.0,1.0,1.0,3.978921996725411,122.29013581679295,1.5974172317403827,1,Outside
2024-01-01,2024.0,1.0,1.0,3.1482528917800323,122.38640568119624,1.6843852271895157,1,716
2024-01-01,2024.0,1.0,1.0,1.443535541706897,124.67845440232536,1.9346886423835803,1,716
2024-01-01,2024.0,1.0,1.0,4.781621459390462,124.42662799566814,2.891837689201319,1,Outside
2024-01-01,2024.0,1.0,1.0,5.178174971104737,124.4564991413726,7.993514655835237,1,Outside
2024-01-01,2024.0,1.0,1.0,2.3614138328087155,122.56480635005518,14.37818617287604,1,716
2024-01-01,2024.0,1.0,1.0,2.026819301721967,120.48744682316226,3.623904217794567,1,716
2024-01-01,2024.0,1.0,1.0,1.379626263386727,125.46120223827576,0.39120359299355,1,715
2024-01-01,2024.0,1.0,1.0,-4.523317907773751,109.29821906124576,6.681640975393714,1,712
2024-01-01,2024.0,1.0,1.0,-6.0291367877622655,106.84307291045285,1.840800739294156,1,712
2024-01-01,2024.0,1.0,1.0,-3.931813779291547,109.53787952200084,5.286671928682416,1,712
2024-01-01,2024.0,1.0,1.0,-5.192384461494564,110.52373383794674,3.691467166708467,1,712
2024-01-01,2024.0,1.0,1.0,-6.376910550236577,112.50206903735356,0.423082405403443,1,712
2024-01-01,2024.0,1.0,1.0,-5.620221944036228,114.95095459717606,1.939468084705925,1,712
2024-01-01,2024.0,1.0,1.0,-3.687712611904187,112.72946896507672,2.3079902591174384,1,712
2024-01-01,2024.0,1.0,1.0,-4.08796217813056,114.67257979380328,2.043880340860801,1,Outside
2024-01-01,2024.0,1.0,1.0,-6.23231197937489,113.66023004365172,1.228593081478774,1,712
2024-01-01,2024.0,1.0,1.0,-4.715880813300108,114.42539296744702,4.520561682178277,1,712
2024-01-01,2024.0,1.0,1.0,-3.539784599582947,111.53506504029252,1.0546029332113207,1,712
2024-01-01,2024.0,1.0,1.0,-4.536925528983183,113.8963576473516,6.270372126508366,1,712
2024-01-01,2024.0,1.0,1.0,-6.3256326229420266,109.2354203609778,8.586872536298563,1,712
2024-01-01,2024.0,1.0,1.0,-3.847037789774115,113.80365086722094,3.880466184664519,1,712
