year,month,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year
2014,2,WPP716,879,5.7506,1.909632,0
2014,2,WPP717,70,2.2463,1.177513,0
2014,2,WPP718,1734,20.9594,3.089194,0
2014,3,Unknown,38,3.9215,1.593612,0
2014,3,WPP571,2232,5.1984,1.824294,0
2014,3,WPP572,5217,5.4772,1.868281,0
2014,3,WPP573,1539,3.495,1.50296,0
2014,3,WPP711,13589,46.2817,3.856123,0
2014,3,WPP712,30696,36.1494,3.614947,0
2014,3,WPP713,8075,18.2704,2.958572,0
2014,3,WPP714,1225,21.4266,3.110247,0
2014,3,WPP715,389,6.9192,2.06929,0
2014,3,WPP716,1335,5.6911,1.900783,0
2014,3,WPP717,126,1.9066,1.066989,0
2014,3,WPP718,3038,40.8418,3.733896,0
2014,4,Unknown,27,4.5607,1.71572,0
2014,4,WPP571,1567,5.2854,1.838232,0
2014,4,WPP572,4464,6.3491,1.994577,0
2014,4,WPP573,1706,7.8222,2.177275,0
2014,4,WPP711,15359,57.3012,4.065622,0
2014,4,WPP712,30724,43.0814,3.786038,0
2014,4,WPP713,7463,18.0858,2.948943,0
2014,4,WPP714,1007,31.5062,3.481432,0
2014,4,WPP715,376,7.0207,2.082031,0
2014,4,WPP716,1357,16.4063,2.856835,0
2014,4,WPP717,142,1.8778,1.057023,0
2014,4,WPP718,2681,21.9938,3.135226,0
2014,5,Unknown,62,3.5615,1.517648,0
2014,5,WPP571,1529,4.5641,1.716341,0
2014,5,WPP572,7343,6.6406,2.033471,0
2014,5,WPP573,2446,9.6922,2.36951,0
2014,5,WPP711,17064,55.5161,4.034525,0
2014,5,WPP712,30310,42.1697,3.765138,0
2014,5,WPP713,9129,17.8959,2.938945,0
2014,5,WPP714,1154,27.2875,3.342422,0
2014,5,WPP715,573,4.2319,1.654781,0
2014,5,WPP716,1742,5.7452,1.90883,0
2014,5,WPP717,215,2.193,1.160964,0
2014,5,WPP718,2435,8.4814,2.249335,0
2014,6,Unknown,64,5.1594,1.81798,0
2014,6,WPP571,1963,6.6466,2.034257,0
2014,6,WPP572,6927,6.9072,2.067778,0
2014,6,WPP573,1764,2.4536,1.23942,0
2014,6,WPP711,14018,34.2111,3.561362,0
2014,6,WPP712,31810,39.1332,3.692203,0
2014,6,WPP713,8592,25.1876,3.265286,0
2014,6,WPP714,516,27.2099,3.339672,0
2014,6,WPP715,411,5.4913,1.870467,0
2014,6,WPP716,1489,5.125,1.812376,0
2014,6,WPP717,158,2.5483,1.266461,0
2014,6,WPP718,1891,9.7569,2.375547,0
2014,7,Unknown,47,3.2563,1.448392,0
2014,7,WPP571,1220,5.464,1.866249,0
2014,7,WPP572,6491,5.4164,1.858858,0
2014,7,WPP573,1213,2.8399,1.345442,0
2014,7,WPP711,12805,33.8498,3.551048,0
2014,7,WPP712,30808,51.2436,3.955917,0
2014,7,WPP713,6657,12.4311,2.597571,0
2014,7,WPP714,701,28.974,3.40033,0
2014,7,WPP715,277,3.9491,1.599211,0
2014,7,WPP716,1068,13.5894,2.680298,0
2014,7,WPP717,112,2.7769,1.32891,0
2014,7,WPP718,3016,25.3079,3.269869,0
2014,8,Unknown,54,4.2047,1.649554,0
2014,8,WPP571,836,6.6311,2.032231,0
2014,8,WPP572,5524,5.6491,1.894483,0
2014,8,WPP573,1355,3.2746,1.452684,0
2014,8,WPP711,12187,27.4757,3.349049,0
2014,8,WPP712,33120,49.0346,3.912714,0
2014,8,WPP713,7938,11.8749,2.555282,0
2014,8,WPP714,1093,43.8754,3.803889,0
2014,8,WPP715,244,3.033,1.394518,0
2014,8,WPP716,1412,7.7038,2.163758,0
2014,8,WPP717,166,2.3297,1.202875,0
2014,8,WPP718,2838,33.3403,3.536318,0
2014,9,Unknown,60,4.3364,1.674544,0
2014,9,WPP571,1225,6.82,2.056679,0
2014,9,WPP572,5495,5.3737,1.852187,0
2014,9,WPP573,1354,2.7396,1.318974,0
2014,9,WPP711,14718,28.1753,3.373321,0
2014,9,WPP712,35190,38.17,3.667911,0
2014,9,WPP713,10390,17.6353,2.925055,0
2014,9,WPP714,1710,36.5502,3.625677,0
2014,9,WPP715,331,2.9855,1.38266,0
2014,9,WPP716,1334,4.5833,1.719777,0
2014,9,WPP717,113,3.3613,1.472774,0
2014,9,WPP718,4787,40.1434,3.717064,0
2014,10,Unknown,46,6.4111,2.002975,0
2014,10,WPP571,1197,5.4504,1.864141,0
2014,10,WPP572,3418,4.4174,1.689612,0
2014,10,WPP573,1575,3.247,1.446209,0
2014,10,WPP711,13143,28.8033,3.39462,0
2014,10,WPP712,32662,32.9908,3.52609,0
2014,10,WPP713,9669,17.0466,2.892957,0
2014,10,WPP714,1530,34.0027,3.555426,0
2014,10,WPP715,377,8.6321,2.265101,0
2014,10,WPP716,1545,3.9145,1.592184,0
2014,10,WPP717,226,6.8582,2.061556,0
2014,10,WPP718,5126,43.6126,3.798016,0
2014,11,Unknown,33,3.5502,1.515171,0
2014,11,WPP571,1213,5.7093,1.903499,0
2014,11,WPP572,2155,4.3399,1.675212,0
2014,11,WPP573,1094,2.9991,1.386071,0
2014,11,WPP711,9814,38.0099,3.663815,0
2014,11,WPP712,30777,34.5197,3.570089,0
2014,11,WPP713,9435,21.2721,3.103333,0
2014,11,WPP714,1782,20.6808,3.076426,0
2014,11,WPP715,460,5.4182,1.859142,0
2014,11,WPP716,1544,4.5743,1.71817,0
2014,11,WPP717,221,12.5784,2.608481,0
2014,11,WPP718,4974,35.4986,3.597275,0
2014,12,Unknown,16,3.2986,1.458294,0
2014,12,WPP571,641,10.8397,2.471454,0
2014,12,WPP572,1553,5.5449,1.87868,0
2014,12,WPP573,780,3.276,1.453009,0
2014,12,WPP711,3836,41.3332,3.745571,0
2014,12,WPP712,14062,25.8967,3.292004,0
2014,12,WPP713,5541,17.5793,2.922048,0
2014,12,WPP714,1072,26.7852,3.324502,0
2014,12,WPP715,338,4.3088,1.669369,0
2014,12,WPP716,1144,4.4287,1.691705,0
2014,12,WPP717,131,2.105,1.133011,0
2014,12,WPP718,2720,49.4611,3.921202,0
2015,1,Unknown,20,3.6125,1.528774,0
2015,1,WPP571,2205,11.1131,2.494286,0
2015,1,WPP572,3817,4.6764,1.736321,0
2015,1,WPP573,801,2.8149,1.338923,0
2015,1,WPP711,2849,29.2042,3.407981,0
2015,1,WPP712,10376,31.6753,3.48662,0
2015,1,WPP713,4551,18.3962,2.96508,0
2015,1,WPP714,751,40.5328,3.726484,0
2015,1,WPP715,258,3.6081,1.527814,0
2015,1,WPP716,728,4.2944,1.66665,0
2015,1,WPP717,88,2.7553,1.323181,0
2015,1,WPP718,944,40.1617,3.717508,0
2015,2,Unknown,41,4.4262,1.691237,0
2015,2,WPP571,2191,8.435,2.244427,0
2015,2,WPP572,5394,5.5207,1.874988,0
2015,2,WPP573,839,3.5339,1.511585,0
2015,2,WPP711,3741,28.7513,3.392872,0
2015,2,WPP712,14006,32.8789,3.522793,0
2015,2,WPP713,5800,23.0675,3.180864,0
2015,2,WPP714,632,33.4281,3.538873,0
2015,2,WPP715,185,4.9035,1.775549,0
2015,2,WPP716,914,4.8359,1.764021,0
2015,2,WPP717,79,2.9984,1.385906,0
2015,2,WPP718,723,42.8061,3.779773,0
2015,3,Unknown,72,55.086,4.026886,0
2015,3,WPP571,2507,7.7836,2.17289,0
2015,3,WPP572,5632,8.798,2.282182,0
2015,3,WPP573,1918,3.8288,1.574603,0
2015,3,WPP711,10533,41.0997,3.74004,0
2015,3,WPP712,28388,32.2586,3.504314,0
2015,3,WPP713,7071,22.327,3.14961,0
2015,3,WPP714,1006,42.8018,3.779675,0
2015,3,WPP715,303,7.7518,2.169261,0
2015,3,WPP716,975,6.2301,1.978256,0
2015,3,WPP717,109,2.4583,1.240785,0
